	Day1	Day2	Day2’’	Day3	Day4	Day4’’	Day5	Day6	Day6’’	Day7	Day8	Day8’’	Day9	Day10	Day10’’	Day11	Day12	Day12’’	Day13	Day14	Day14’’	Day15	Day16	Day16’’	Day17	Day18	Day18’’	Day19
Data	101	174	280.043060302734	155	71	94.7119445800781	109	215	139.655242919922	156	144	158.761627197266	157	131	151.661956787109	136	117	107.588653564453	79	153	74.3600769042969	107	137	149.239898681641	129	171	19.4214782714844	127
Data	80	284	121.654678344727	222	178	225.657516479492	173	151	119.810256958008	89	213	79.0474700927734	84	191	103.667007446289	140	133	186.619064331055	223	215	222.98274230957	179	99	128.755111694336	150	180	261.577774047852	135
Data	219	86	-254.311859130859	67	105	225.674713134766	196	160	132.361480712891	115	131	134.822662353516	154	127	155.234039306641	150	84	154.747955322266	164	149	150.493316650391	105	200	92.2005920410156	244	211	537.951812744141	116
Data	195	165	-369.350234985352	114	69	287.338272094727	183	227	77.0936737060547	93	179	182.905227661133	242	168	213.867660522461	127	66	61.3139801025391	80	201	176.010787963867	274	132	297.541091918945	258	104	245.499618530273	104
Data	282	152	213.122009277344	189	272	121.095581054688	131	200	230.358215332031	330	121	344.818115234375	268	271	170.586608886719	140	295	204.150024414063	296	121	297.041564941406	157	160	21.26318359375	207	112	753.707458496094	134
Data	258	99	-146.448715209961	309	290	453.049728393555	350	222	226.56526184082	167	145	143.805892944336	123	192	118.436660766602	169	88	275.618698120117	362	188	313.735794067383	105	262	-59.5665435791016	222	233	996.595474243164	350
Data	198	245	566.283599853516	226	137	103.610137939453	173	182	251.527496337891	257	75	210.113800048828	161	121	133.736236572266	119	234	102.457305908203	95	147	130.566070556641	218	119	275.234405517578	137	74	-188.701751708984	265
Data	189	171	-191.616638183594	175	83	369.26025390625	322	172	198.988708496094	130	306	141.047241210938	186	168	206.711242675781	179	91	125.349853515625	94	114	118.222839355469	179	172	199.027465820313	96	168	-81.5546264648438	78
Data	205	53	408.103408813477	43	38	48.4993743896484	213	47	271.37141418457	187	46	74.4568328857422	44	233	109.762466430664	199	85	230.181869506836	193	67	163.550003051758	223	67	318.01042175293	206	206	-231.930038452148	147
Data	162	39	-469.357894897461	77	48	284.31803894043	245	114	225.15168762207	277	46	307.765121459961	245	89	122.237442016602	45	71	85.8313446044922	198	162	230.907180786133	76	40	-129.850479125977	34	89	725.731216430664	46
Data	131	186	87.2581024169922	99	80	71.9710235595703	51	45	59.1434173583984	79	172	84.4051666259766	70	94	56.9134979248047	75	232	135.735794067383	215	104	261.544906616211	235	152	156.751968383789	128	95	231.701705932617	189
Data	267	91	-223.831085205078	265	246	276.640045166016	89	56	43.3934020996094	156	215	262.419219970703	247	176	146.606170654297	93	214	169.100738525391	302	273	299.791595458984	60	46	-165.331024169922	231	174	1356.80905151367	187
Data	231	174	-396.508026123047	187	91	356.120880126953	211	252	89.3171691894531	109	162	192.811309814453	229	194	185.529083251953	119	289	103.279083251953	147	62	173.565216064453	102	318	-7.97579956054688	102	218	553.988067626953	106
Data	123	233	284.063430786133	263	209	275.835311889648	252	239	166.048110961914	75	87	49.9567108154297	111	243	211.819900512695	275	197	250.439437866211	158	74	81.1366119384766	101	248	200.291305541992	223	244	50.0685577392578	242
Data	192	59	650.466079711914	129	81	17.4330291748047	180	120	298.475662231445	271	197	176.036361694336	120	263	134.014541625977	170	139	168.868209838867	134	278	141.403030395508	254	196	381.373886108398	238	100	-297.476058959961	68
Data	293	140	834.490356445312	200	223	15.0064086914063	173	241	311.8330078125	288	209	169.933044433594	83	188	86.6444091796875	148	225	196.351867675781	199	190	191.408935546875	223	143	244.559753417969	64	250	-365.889038085938	109
Data	98	52	168.467102050781	170	54	154.017883300781	153	53	161.711242675781	160	59	138.039367675781	106	106	85.8225708007813	93	102	121.084289550781	141	105	121.176086425781	63	86	29.1526489257812	120	59	325.396789550781	146
Data	120	59	182.793502807617	146	127	125.984024047852	123	122	119.991439819336	112	100	104.20149230957	102	101	104.996017456055	108	109	106.588882446289	102	106	100.424423217773	105	83	105.013381958008	76	73	16.5813446044922	63
Data	276	105	291.46125793457	138	227	144.442611694336	205	109	214.696914672852	167	177	111.244674682617	88	72	97.8290557861328	113	201	112.579940795898	109	122	138.615493774414	210	156	241.70622253418	76	35	-273.373458862305	107
Data	124	161	-339.659332275391	45	44	248.766204833984	227	115	145.386077880859	103	135	102.743255615234	108	70	96.2166442871094	75	82	64.2710876464844	69	211	71.0823669433594	56	123	60.0372009277344	177	81	399.608245849609	90
Data	239	261	-204.206237792969	136	169	259.060241699219	182	76	93.4067993164063	78	79	112.524841308594	144	128	149.933898925781	147	171	159.825378417969	185	63	187.156311035156	144	131	115.493103027344	249	251	547.105285644531	118
Data	79	158	244.774124145508	224	78	208.765548706055	190	92	152.473281860352	112	154	92.7361907958984	101	72	119.678298950195	124	164	105.263473510742	84	224	98.0376129150391	164	238	232.933334350586	192	153	4.51216125488281	130
Data	281	304	-24.9686431884766	292	360	381.452774047852	320	185	279.93717956543	300	297	324.012893676758	301	199	242.563705444336	210	377	254.711685180664	361	349	440.262496948242	400	175	259.83821105957	210	300	405.322616577148	160
Data	202	256	-293.49772644043	192	239	296.143173217773	215	341	222.631240844727	324	367	379.42839050293	304	218	155.031692504883	75	281	156.106185913086	336	316	422.055191040039	274	202	51.6531219482422	256	133	1057.8657989502	119
Data	283	228	89.4221038818359	347	221	362.640640258789	254	285	189.320602416992	196	354	213.130935668945	191	201	141.939804077148	122	287	171.634902954102	266	245	321.506271362305	275	294	195.316604614258	304	235	672.684066772461	229
Data	266	245	214.644592285156	275	294	313.023620605469	304	235	266.728820800781	229	233	211.514099121094	222	197	254.836486816406	294	68	318.637390136719	311	305	265.873840332031	199	320	149.299743652344	166	299	266.997131347656	349
Data	101	132	-377.086410522461	119	210	346.527267456055	273	233	132.11116027832	69	130	91.7795257568359	141	71	166.603652954102	163	178	157.150924682617	172	206	198.211380004883	201	190	165.836776733398	147	71	226.317153930664	216
Data	276	324	-330.564651489258	251	226	431.12776184082	318	50	221.349960327148	228	25	255.825576782227	221	259	135.305587768555	86	325	140.201126098633	259	177	303.528793334961	166	271	-36.7065277099609	89	162	731.933639526367	235
Data	216	314	314.793411254883	330	347	232.879806518555	179	329	222.733291625977	310	268	362.427108764648	348	246	296.94465637207	267	344	289.421676635742	336	340	338.075942993164	261	223	191.699447631836	333	334	716.088088989258	342
Data	305	84	-145.372970581055	226	87	359.648422241211	338	264	350.184951782227	417	352	449.616500854492	380	243	232.233108520508	102	340	76.3990325927734	158	257	255.654312133789	270	196	233.878829956055	367	186	770.14387512207	317
Data	345	95	896.570602416992	201	142	-42.5431976318359	96	249	257.675521850586	285	215	228.827346801758	199	334	240.69645690918	306	182	310.930313110352	222	260	103.281845092773	75	323	187.789138793945	303	278	188.767623901367	194
Data	235	219	-652.892837524414	149	154	414.663711547852	259	203	128.716842651367	178	70	297.728469848633	334	288	247.422225952148	129	105	101.510025024414	197	73	311.48112487793	297	227	159.078689575195	184	176	625.588851928711	335
Data	134	115	-105.377899169922	100	129	162.988677978516	118	148	81.5202941894531	91	135	117.435699462891	124	98	104.773956298828	84	118	87.3006896972656	112	117	124.039337158203	94	120	54.4273986816406	115	115	311.097686767578	85
Data	354	66	255.741897583008	233	221	176.182418823242	155	133	192.073623657227	245	102	260.234848022461	221	144	157.395584106445	120	107	138.46891784668	194	51	229.012466430664	199	180	140.251815795898	183	194	382.541458129883	171
