	elu0	elu30	elu60	elu90	elu120	elu150	elu180	elu210	elu240	elu270	elu300	elu330	elu360	elu390
YAL020C	-0.11	0.02	-0.36	-0.11	0.48	-0.2	0.27	0.29	-0.34	-0.05	0.23	0.08	-0.45	0.25
YAL021C	-0.04	-0.1	-0.07	0.22	0	-0.09	0.37	-0.1	0.15	0.29	-0.39	0.04	-0.09	-0.2
YAL022C	-1.16	-0.71	-0.71	-0.24	-0.75	-0.11	-0.42	-0.01	0.53	0.58	1.49	0.72	0.51	0.29
YAL023C	-1.15	-0.83	-0.76	-0.32	0.17	0.17	0.49	0.64	0.53	0.58	-0.03	0.49	0.04	-0.03
YAL024C	0.34	-0.32	-0.13	-0.13	0.1	0.4	0.26	-0.01	0.16	0.1	-0.13	-0.01	-0.53	-0.11
YAL025C	-1.01	-0.39	0.03	0.58	1.12	0.58	0.18	0.18	-0.11	0.25	-0.13	-0.62	-0.34	-0.32
YAL026C	-0.64	-0.51		0.18	-0.09	-0.17	0.15	-0.05	0.4	0.8	-0.11	0.25	-0.59	0.39
YAL027W	0.4	-0.2	-0.1	-0.02	-0.32	-0.25	-0.18	0.17	0.11	-0.1	0.06	0.11	0.08	0.23
YAL028W	0.76	-0.38	-0.15	-0.1	0.07	-0.31	-0.04	0.06	0.22	-0.03	-0.15	0.1	0.07	-0.12
YAL029C	-0.74	-0.25		0.14	0.03	-0.05	0.49	-0.14	0.05	0.48	0.13	0.2	-0.52	0.19
YAL030W	0.73	-0.11	0.09	0.25	0.24	-0.24	-0.05	-0.05	-0.08	-0.35	0.03	-0.11	-0.29	-0.05
YAL031C	0.45	-0.03		-0.18	-0.47	-0.37	0.33	-0.17	-0.06	0.17	-0.13	0.19	-0.15	0.42
YAL032C	0.61	-0.14	-0.02	0	0.23	-0.14	-0.02	0.17	-0.05	-0.29	-0.23	0.06	-0.12	-0.05
YAL033W	0.12	-0.22		0.49	0.05	0.15	0.15	0.08	-0.32	-0.08	0.18	-0.05	-0.49	-0.06
YAL034C	1.14	0.11	-0.68	0	-0.29	-0.36	-0.19	0.07	0.07	0.01	-0.25	0.1	0.07	0.19
YAL035C-A														
YAL035W	-0.51	-0.08	-0.15	0.36	0.43	0.36	0.25	0.12	-0.05	0.04	-0.05	-0.14	-0.27	-0.3
YAL036C	-1.22	-0.44	-0.49	0.53	0.83	0.25	0.48	-0.05	0.24	0.46	-0.24	-0.18	-0.37	0.2
YAL037W	-0.14	-0.11	0.18	-0.16	0.29	0.08	-0.11	0	0.2	0.14	0.1	-0.07	-0.32	-0.09
YAL038W	-0.64	-0.35	0.06	0.74	0.38	0.01	0.43	-0.07	0.21	0.04	-0.86	-0.35	0.19	0.2
YAL039C	-0.2	-0.1	-0.55	0.32	0.13	-0.34	-0.55	0.1	0.25	0.18	-0.05	0.27	0.49	0.04
YAL040C	-0.73	-0.05	-0.31	0.43	0.1	0.12	-0.4	-0.42	0.07	0.19	-0.21	0.48	0.47	0.25
YAL041W	0.46	-0.08	-0.05	0.23	0.24	-0.19	-0.27	-0.01	-0.03	0.05	-0.21	0.01	-0.17	0.01
YAL042W	-0.6	-0.27	-0.48	-0.07	-0.19	0.06	-0.08	0.23	0.49	0.33	0.06	0.16	0.24	0.11
YAL043C	0.04	-0.06	-0.19	0.42	0.1	-0.07	0.27	-0.12	0.08	-0.24	-0.44	0.19	-0.33	0.35
YAL043C-A														
YAL044C	-0.31	-0.14	0.44	0.1	-0.16	-0.43	-0.75	-0.26	0.13	0.31	0.05	0.48	0.13	0.41
YAL045C	0.4	-0.17	0	-0.26	0.11	-0.55	-0.11	0.3	0.19	0	0.11	0.04	0.02	-0.06
YAL046C	-0.29	-0.08	-0.24	-0.11	-0.14	-0.11	-0.05	0.4	0.15	0.06	-0.1	0.19	0	0.32
YAL047C	-0.05	-0.01	-0.4	-0.05	0.17	-0.01	-0.24	0.11	0.44	0.31	0.09	-0.21	-0.12	-0.03
YAL048C	0.56	0.06		-0.04	-0.44	-0.22	0.42	0	-0.06	0.17	-0.02	-0.33	-0.13	0.01
YAL049C	0.67	0.09	0.05	0.08	0.06	-0.45	-0.34	-0.04	0.01	-0.2	-0.34	0.2	-0.14	0.34
YAL051W	2.63	-0.15		0.06	-0.1	-0.27	0.22	-0.25	-0.04	-0.38	-0.52	0.15	-1.24	-0.1
YAL053W	0.23	-0.32	-0.42	-0.28	0.07	-0.24	-0.04	0.18	0.16	0.04	-0.2	0.32	0.42	0.1
YAL054C	-1.5	0.41	-0.5	-0.22	-1.35	-1.39	-0.39	0.68	1.11	0.77	-0.33	0.85	1.17	0.68
YAL055W	0.4	0.18	0.61	-0.18	-0.22	-0.77	-0.18	0.08	-0.03	-0.09	-0.13	0.29	0	0.04
YAL056W	0.61	0.3	-1.14	-0.36	0.19	-0.08	-0.14	0.1	-0.07	0.07	0.14	0.17	-0.04	0.25
YAL058C-A														
YAL058W	-0.6	0.09	-0.09	0.32	0.28	-0.09	-0.01	0.14	0.07	0.04	-0.12	0.16	-0.2	0.01
YAL059W	-0.88	-0.08		-0.08	1.2	0.58	0.02	0.12	-0.08	-0.06	0.16	-0.48	-0.41	-0.01
YAL060W	0.85	0.09	0.63	-0.09	-0.82	-0.73	-0.37	-0.15	0.13	-0.11	-0.58	0.54	0.44	0.18
YAL061W	1.57	0.13		0.67	-0.61	-0.71	-0.85	-0.29	-0.09	-0.68	-1.39	0.5	0.68	1.07
YAL062W	1.03	0.25		0.5	-0.06	-0.26	0.02	-0.26	-0.11	-0.08	-0.76	-0.12	-0.09	-0.08
YAL063C	-0.3	-0.37	-0.18	-0.09	-0.16	-0.16	-0.1	-0.09	0.46	0.32	0.02	0.31	0.4	-0.07
YAL064C-A														
YAL064W	0.41	-0.37	0.17	-0.3	0.18	-0.2	-0.07	-0.03	0.17	-0.18	0.15	-0.13	0.17	0.03
YAL064W-B														
YAL065C	0.07	-0.32	-0.15	-0.36	0.05	0.11	-0.01	0.09	0.17	0.07	0.19	-0.08	-0.18	0.36
YAL066W	0.41	-0.49	-0.16	0.07	0.15	0.15	-0.06	0.17	0.17	-0.39	0.62	-0.39	-0.04	-0.21
YAL067C	-0.2	0.05	0.03	0.29	0.32	0.09	0.14	-0.05	0.14	-0.16	0.12	-0.09	-0.29	-0.39
YAL068C														
YAL069W														
YAR002C-A														
YAR002W	0.07	-0.28	-0.49	0.17	0.12	0	0.09	-0.19	0.17	0.38	-0.17	0.52	0	-0.39
YAR003W	-0.44	-0.69	-0.2	-0.22	0.34	-0.02	0.26	0.49	0.26	0.22	0.07	0.01	-0.13	0.05
YAR007C	-0.83	-0.16	-0.69	-0.24	0.2	0.51	0.54	0.45	0.35	0.25	-0.38	0.24	-0.09	-0.14
YAR008W	0.1	-0.34	-0.14	-0.27	0.29	0.69	0.08	0.12	0.03	0.01	0.42	-0.46	-0.41	-0.12
YAR009C	0.5	0.18	0.41	0.18	-0.03	0.15	-0.25	-0.41	-0.07	-0.13	-0.15	-0.01	-0.28	-0.09
YAR010C	0.52	0.1	0.16	0.03	0.26	-0.04	-0.34	-0.37	-0.01	0.08	-0.39	0.13	-0.32	0.19
YAR014C	-1.08	0.11		-0.23	0	-0.25	-0.15	0.36	0.35	0.51	-0.18	0.2	-0.05	0.42
YAR015W	-0.13	0.07		0.09	0.25	-0.5	-0.21	-0.04	0.02	0.26	-0.02	0.34	-0.01	-0.14
YAR018C	-0.68	-0.56	-0.59	-0.27	-0.36	-0.71	-0.29	0.21	0.59	0.71	0.19	0.75	0.46	0.54
YAR019C	0.62	0.15	0	0.15	0.03	-0.38	-0.02	-0.19	-0.41	0.31	-0.13	-0.06	-0.25	0.19
YAR020C	-0.22	0.22	-0.6	0.09	-0.33	-0.13	0.03	0.28	0.3	0.14	-0.18	0.22	-0.07	0.25
YAR023C	0.49	0.12	-0.05	0.24	0.2	-0.02	0.16	-0.08	-0.41	-0.22	0.04	-0.31	-0.2	0.06
YAR027W	1.19	0.12	0.41	-0.41	-0.64	-0.43	-0.49	-0.03	-0.05	-0.14	-0.28	0.29	0.19	0.26
YAR028W	1.54	-0.04	-0.06	-0.43	-0.07	-0.25	-0.21	-0.09	-0.09	-0.21	-0.07	0.16	0.06	-0.23
YAR029W	0.02	-0.19	0.29	0.32	-0.04	0	-0.15	-0.3	0.12	0.31	0.03	0.05	-0.49	0.03
YAR030C	0.53	0.19	0.11	-0.03	-0.02	0.09	0.09	-0.07	-0.21	-0.17	0.06	-0.17	-0.5	0.11
YAR031W	0.77	0.11	0.21	-0.11	-0.36	-0.38	-0.36	-0.04	-0.09	-0.02	-0.07	0.18	-0.25	0.39
YAR033W	1.22	0.24	0.18	-0.13	-0.45	-0.31	-0.25	-0.25	-0.25	-0.23	-0.04	0.04	0.29	-0.04
YAR035W	-0.27	0.12	-0.58	-0.45	-0.41	-0.25	-0.17	0.31	0.4	0.04	0.04	0.18	0.56	0.48
YAR037W	-0.08	0.36	-0.39	-0.82	-0.79	-0.9	-0.24	0.28	0.75	0.33	0.06	0.65	0.67	0.14
YAR040C	-0.02	0.01	-0.31	-0.56	-0.62	-0.44	-0.11	0.47	0.5	0.02	0.01	0.39	0.56	0.09
YAR042W	0.37	-0.12	-0.63	-0.33	-0.4	-0.18	-0.33	-0.17	0.37	0.32	0.07	0.65	-0.05	0.43
YAR043C	0.33	-0.26	0.28	-0.47	-0.09	-0.24	-0.15	0.01	0.21	-0.07	0.05	0.2	0.13	0.06
YAR044W	0.22	-0.24	-0.48	-0.35	-0.31	-0.44	-0.09	-0.09	0.45	0.4	-0.4	0.68	0.55	0.12
YAR047C	-0.36	-0.09	-0.36	0.23	0.31	0.06	0.14	-0.11	-0.03	-0.14	0.2	0.53	-0.48	0.11
YAR050W	-0.48	-0.36	-0.32	-0.38	0.05	-0.04	-0.15	0.15	0.42	0.5	-0.06	0.31	0.25	0.1
YAR052C	0	-0.11	-0.03	0.19	0	-0.07	0.18	0.18	-0.23	-0.16	0.03	-0.12	-0.11	0.23
YAR053W	0.23	-0.41	0.16	-0.28	-0.06	0.38	-0.03	0.05	0.21	-0.14	0.33	-0.14	-0.12	-0.16
YAR060C	-0.11	-0.27	0	-0.18	-0.12	0.21	0.09	-0.04	0.23	-0.07	0.44	-0.23	0.06	0
YAR061W	-0.27	-0.01	-0.07	-0.16	-0.12	0.21	-0.03	-0.16	0.12	0.08	0.23	0.23	0.32	-0.36
YAR062W	-1.14	-0.31	1.2	-0.38	-0.46	-0.38	-0.14	0.27	0.07	0.27	-0.11	0.36	0.32	0.42
YAR064W	0.24	0.19	0.26	-0.12	0.06	0.08	-0.14	-0.04	-0.71	0.16	-0.1	0	-0.21	0.31
YAR066W														
YAR068W	0.44	-0.23	-0.12	-0.2	-0.33	-0.52	-0.5	0.36	0.07	0.48	-0.35	0.16	0.3	0.45
YAR069C	0.25	-0.13	0.31	0.07	0.05	0.27	0.27	0.07	-0.23	-0.18	-0.08	-0.21	-0.62	0.17
YAR070C	0.26	-0.22	-0.05	0.2	-0.26	-0.2	-0.46	0.04	-0.07	-0.34	1.66	-0.08	-0.38	-0.12
YAR071W	-1.02	1.11	0.34	0.18	0.16	0.09	0.16	-0.25	-0.41	-0.09	0.08	0	-0.32	-0.02
YAR073W	-1.62	-0.84	0.06	0.12	0.12	0.33	0.25	0.62	0.19	0.58	0.24	0.16	-0.24	0.06
YAR074C	-1.28	-0.33	-0.22	0	0.42	0.52	0.13	0.27	0.23	0.43	0.13	0.14	-0.26	-0.17
YAR075W														
YBL001C	-0.33	-0.35	0.02	-0.47	-0.32	-0.11	-0.14	0.77	0.2	0.17	-0.16	0.29	0.21	0.22
YBL002W	-1.63	-1.22	-1.11	-0.58	0.11	0.72	1.18	0.89	0.87	0.42	0.54	0.59	-0.13	-0.65
YBL003C	-1.63	-0.68	0.04	-0.94	-0.34	0.43	0.55	1.03	0.81	0.54	0.39	0.45	-0.06	-0.59
YBL004W	-0.8	-0.67	-0.32	0.12	0.01	0.31	0.89	0.45	0.66	0.19	-0.15	0.27	-0.67	-0.3
YBL005W	0.29	-0.21	0.31	0.06	0.07	0.02	-0.06	-0.06	-0.01	0.03	-0.43	-0.04	-0.06	0.1
YBL005W-A	0.27	-0.44	0.1	0.17	0.39	-0.35	-0.18	-0.22	0.32	-0.02	-0.33	0.21	0.01	0.05
YBL005W-B	0.52	-0.32	-0.29	0.37	0.07	-0.02	-0.2	-0.18	0.27	-0.1	-0.12	0.17	-0.25	0.09
YBL006C	0.34	0	-0.43	-0.17	-0.11	0.2	-0.3	0.05	0.19	-0.1	-0.13	0.39	0.07	0
YBL007C	0.13	0.09	-0.03	-0.02	-0.33	-0.12	-0.03	-0.15	0.19	0.1	-0.33	0.34	0.07	0.09
YBL008W	-0.39	1.63	-0.51	-0.37	0.38	-0.08	0.05	0.28	-0.34	-0.07	-0.05	-0.25	-0.2	-0.07
YBL009W	-0.68	-0.83	-0.3	-0.54	0.12	0.74	0.51	0.52	0.46	0.56	-0.19	0.07	-0.22	-0.22
YBL010C	-0.91	0.01	-0.44	-0.03	0.3	0.16	0.29	0.49	0.11	0.19	-0.14	0.09	-0.18	0.06
YBL011W	-0.83	-0.77	-0.51	-0.56	-0.31	0.25	0.13	0.56	0.45	0.44	0.12	0.37	0.58	0.08
YBL012C	-0.61	-0.42	-0.25	-0.21	-0.11	0.11	0.35	0.17	0.24	0.16	0.12	0.44	-0.08	0.07
YBL013W	-0.2	-0.2	-0.22	-0.26	-0.28	0.18	-0.12	0.45	0.28	0.02	-0.09	0.31	-0.12	0.27
YBL014C	-0.46	-0.15	-0.21	0.27	0.27	0.41	-0.07	-0.09	0.04	0.19	-0.13	-0.07	0.06	-0.09
YBL015W	-0.82	-0.17	-0.16	-0.11	-0.76	-0.54	-0.31	0.57	0.66	0.41	-0.16	0.52	0.66	0.21
YBL016W	-0.8	-0.05	-0.02	0.08	0.37	-0.02	0.03	0.14	0.19	0.04	-0.16	0.18	-0.19	0.21
YBL017C	-0.18	-0.18	-0.03	0.45	-0.37	-0.39	-0.21	0.23	0.29	0.5	-0.23	0.24	-0.15	0.02
YBL018C	-0.21	0.1	0.02	0.09	0.28	0.07	0.21	0.04	-0.17	-0.17	0.93	-0.49	-0.4	-0.29
YBL019W	0.21	-0.25	0.05	0.47	-0.01	-0.1	0.16	-0.05	-0.1	-0.03	-0.05	0.12	-0.39	-0.05
YBL020W	-0.8	-0.43	-0.39	0.39	0.19	0.24	0.28	0.24	-0.01	0.26	0.43	0.18	-0.33	-0.27
YBL021C	-0.53	-0.13	-0.2	0.04	0.08	-0.01	0.22	0.23	0.05	0.08	0.04	0.12	-0.36	0.37
YBL022C	-0.08	0.21	-0.1	-0.18	-0.35	-0.16	0.02	0.07	0.2	0.21	-0.19	0.07	0.09	0.21
YBL023C	-0.91	-0.6	0.09	0.34	0.17	0.21	0.29	0.28	0.11	0.31	0.13	0.25	-0.62	-0.05
YBL024W	-0.4	-0.51	-0.26	0.43	0.03	0.58	0.39	-0.06	0.14	0.2	-0.33	0.2	-0.08	-0.33
YBL025W	-0.58	-0.41	0.38	-0.26	0.18	-0.1	-0.03	0.36	0.36	0.04	-0.03	0.27	-0.44	0.27
YBL026W	-0.01	-0.07	-0.26	1.18	0.01	-0.11	-0.18	0.11	0.03	-0.17	-0.17	0.11	-0.26	-0.2
YBL027W	-1.12	-0.31	0.16	-0.26	0.32	0.57	0.14	0.62	0.33	0.08	-0.1	-0.16	-0.12	-0.16
YBL028C	-0.73	0.02	0.04	0.59	0.72	0.74	0.19	0.02	-0.2	-0.14	0.18	-0.38	-0.6	-0.45
YBL029W	0.17	0.17	0.1	-0.05	0.1	-0.01	-0.31	-0.24	0.29	-0.24	-0.17	0.05	-0.05	0.16
YBL030C	-1.11	-0.58	-0.25	0.37	-0.13	0.08	0.19	0.26	0.18	0.23	-0.08	0.45	0.36	0.04
YBL031W	-0.42	-0.22	-0.37	0.38	0.05	0.12	0.01	0.39	0.18	-0.18	0.21	0.08	-0.26	0.01
YBL032W	-0.65	-0.78	-0.56	-0.68	-0.19	-0.09	0.07	0.48	0.72	0.45	0.16	0.64	0.36	0.07
YBL033C	0	-0.37	-0.36	0.29	0.24	-0.21	-0.06	0.06	0.34	-0.12	-0.2	0.1	0.25	0.03
YBL034C	1.57	-0.52	0.04	0.05	0.15	0.22	0.12	-0.28	0.16	0.01	-0.2	-0.28	-0.47	-0.56
YBL035C	-0.59	-0.72	-0.3	0.25	0.79	0.7	0.59	0.36	0.12	0.31	-0.2	-0.47	-0.59	-0.24
YBL036C	-0.08	0.21	-0.14	0.1	0.18	0.05	0.05	-0.04	-0.06	-0.12	0	-0.04	-0.1	-0.02
YBL037W	-0.22	-0.65	-0.36	0.06	-0.05	-0.04	-0.14	0.33	0.16	0.4	-0.12	0.34	0.16	0.14
YBL038W	0.09	-0.26	-0.22	-0.12	-0.14	0.14	-0.28	0.1	0.31	0.04	-0.48	0.47	0.2	0.15
YBL039C	-1.67	-0.46	0.19	0.45	0.85	0.62	0.18	0.31	-0.16	0.75	-0.12	-0.53	-0.41	0.01
YBL040C	-0.06	-0.17	-0.22	0.19	0.15	-0.27	-0.13	-0.02	0.17	0.04	-0.2	0.24	0.24	0.04
YBL041W	0.14	0.18	-1.41	0.05	-0.33	-0.41	-0.47	0.43	0.35	0.26	-0.13	0.33	0.62	0.39
YBL042C	0.42	0.28	0.65	0.72	0.41	-0.13	0.06	-0.32	-0.18	-0.09	-0.52	-0.64	-0.92	0.25
YBL043W	-1.41	0.26	-6.22	0.93	0.51	0.51	0.32	0.88	0.92	0.92	0.19	0.97	0.53	0.71
YBL044W	0.31	-0.08	0.18	0.78	0.42	-0.04	0.24	-0.24	-0.11	0.26	0.14	-0.9	-0.9	-0.04
YBL045C	-0.4	-0.36	0.8	-0.46	-0.08	-0.07	-0.33	0.33	-0.1	0.24	-0.05	0.15	0.25	0.08
YBL046W	0.09	-0.4	-0.38	0.2	0.17	0.18	0.36	0.14	0.21	0.01	-0.1	0.09	-0.45	-0.1
YBL047C	0.18	0.32	-0.44	-0.46	-0.58	-0.03	-0.35	0.19	0.21	0.22	-0.09	0.46	0.04	0.33
YBL048W	0.49	0.37	0.38	0.44	0	-0.6	-0.13	-0.22	-0.02	-0.06	-0.43	-0.13	-0.04	-0.06
YBL049W	0.53	0.21	1.42	0.03	-0.61	-0.33	-0.49	-0.27	-0.09	0	-0.16	0.17	-0.53	0.14
YBL050W	0.61	0.1	-0.01	0.13	-0.53	-0.48	-0.51	-0.04	0.1	0.04	-0.37	0.53	0.34	0.09
YBL051C	-0.19	-0.41	-0.19	0.07	-0.19	-0.1	-0.57	0.18	0.16	0.4	-0.22	0.42	0.31	0.31
YBL052C	-0.53	0.07	-0.09	0.27	0.18	0.27	0.31	0.05	0.05	-0.04	0.31	-0.19	-0.48	-0.19
YBL053W	-0.58	-0.61	0.05	-0.53	0.18	0.43	-0.08	0.37	0.31	0.25	0.23	-0.06	0.05	-0.02
YBL054W	-0.12	-0.53	-0.26	0.89	1.1	0.71	0.02	-0.14	-0.02	0.58	-0.39	-0.78	-0.64	-0.41
YBL055C	0.2	-0.58	0	0.09	0.38	-0.01	0.25	-0.09	0.29	0.14	-0.4	-0.13	-0.29	0.14
YBL056W	0.41	-0.26	-0.22	-0.1	-0.16	-0.37	-0.16	0.1	0.12	0.05	-0.4	0.54	0.24	0.2
YBL057C	0.18	-0.37	-0.41	0.18	0.21	-0.41	0.04	0.24	0.48	-0.54	-0.41	0.38	0.01	0.43
YBL058W	0.21	-0.19	-0.18	-0.53	-0.3	0	-0.45	0.28	0.21	-0.05	-0.05	0.38	0.36	0.3
YBL059W	-0.02	-0.37	-0.15	-0.28	0.31	0.41	-0.32	0.03	0.24	0.04	0.18	0.03	0.03	-0.13
YBL060W	0	-0.63	-0.17	0.18	0.2	0.21	0.13	-0.31	0.3	0.05	-0.19	-0.13	0.36	0
YBL061C	-0.02	-0.27	-0.11	0.16	0.38	0.19	0.1	-0.33	0.11	0.27	-0.29	-0.02	-0.12	-0.04
YBL062W	-0.38	-0.17	0.13	-0.09	0.21	0.21	0.09	0	-0.05	0.11	-0.04	0.11	-0.33	0.21
YBL063W	-0.31	-0.56	0.1	-0.06	-0.03	-0.14	0.32	0.24	0.66	0.65	-0.06	0.3	-1.27	0.14
YBL064C	0.61	0.31	0.09	0.22	-0.55	-0.9	-0.74	-0.08	0.18	-0.18	-0.87	0.57	0.87	0.46
YBL065W	0.33	-0.43	0.12	0.16	-0.04	0.16	0.1	-0.06	0.41	0.36	-0.15	0.1	-0.99	-0.08
YBL066C	0.4	-0.16	0.31	-0.34	0.02	0.21	-0.7	0.11	0.08	0.05	-0.09	0.07	0.04	-0.01
YBL067C	0.12	-0.29	-0.31	-0.12	0.1	-0.12	0.17	0.01	0.17	0.2	-0.25	0.23	0.07	0.03
YBL068W	0.16	0.06	0.15	0.29	0.45	0.26	0.18	0.04	-0.13	0.01	-0.49	-0.3	-0.46	-0.23
YBL069W	-1.18	0.02	0.2	0.1	-0.17	-0.12	0.21	0.26	0.16	0.09	0.27	0.28	-0.32	0.2
YBL070C	0.29	-0.39	0.3	0.68	-0.11	-0.3	0	0.07	0.12	0.23	-0.46	-0.1	0.2	-0.51
YBL071C	-1.35	-0.14	0.8	0.37	0.46	0.09	0.22	0.31	-0.08	-0.01	-0.06	-0.3	-0.52	0.21
YBL072C	-0.91	-0.38	0.01	0.69	0.24	-0.15	0.3	0.16	0.31	0.31	-0.11	0.05	-0.18	-0.33
YBL073W	-0.59	0.35	0.45	0.08	0	0.07	0.18	-0.07	0.1	0.03	0.21	0.05	-1.18	0.32
YBL074C	-0.29	0.14	0.12	0.29	0.16	-0.06	-0.06	0.02	0.02	0.04	-0.22	0.05	-0.27	0.07
YBL075C	0.39	-0.18	-0.09	-0.04	-0.25	-0.69	-0.64	-0.38	0.41	0.33	-0.62	0.23	0.92	0.61
YBL076C	-0.72	-0.16	-0.31	0.26	0.2	0.08	0.11	-0.03	0.28	0.33	-0.05	0.18	-0.2	0.04
YBL077W	-1.22	-0.51	-0.3	-0.32	0.46	0.5	0.49	0.3	0.21	0.34	0.18	0	-0.22	0.11
YBL078C	2.44	0.46	0.36	-0.26	-0.75	-0.88	-0.57	-0.26	-0.06	-0.68	-0.32	0.14	0.32	0.06
YBL079W	-0.1	-0.55	-0.39	-0.1	-0.09	0.45	0.09	0.32	0.33	0.24	-0.07	0.06	-0.17	-0.02
YBL080C	0.19	-0.81	-0.18	-0.1	0	-0.04	-0.12	-0.14	0.36	0.22	0.03	0.36	0.2	0.05
YBL081W	-0.54	-0.36	-0.4	-0.11	-0.2	0.09	0.2	0.03	0.59	0.17	-0.16	0.11	0.48	0.11
YBL082C	-1	-0.4	-0.43	0.16	0.16	-0.02	-0.08	0.33	0.33	0.39	-0.12	0.39	0.12	0.19
YBL083C	-0.62	-0.6	-0.3	-0.51	0.06	0.25	0.56	0.12	0.23	0.27	0.19	0.16	-0.14	0.33
YBL084C	0.53	-0.35	0.16	0.47	-0.18	0.37	-0.11	-0.28	0.16	0.05	-0.07	0.13	-0.7	-0.18
YBL085W	0.95	0.02	0.2	0.26	0.23	0.25	0.44	-0.22	-0.38	-0.01	-0.33	-0.62	-0.74	-0.05
YBL086C	1.53	-0.18	-0.14	0.09	-0.16	-0.44	-0.1	0.23	-0.18	-0.53	-0.44	0.22	-0.08	0.17
YBL087C	-1.49	-0.59	-0.24	0.02	0.37	0.19	0.48	0.36	0.45	0.39	-0.27	0.16	-0.08	0.26
YBL088C	0.35	-0.54	-0.34	0.06	-0.02	0.36	0.06	0.04	0.39	0.19	-0.46	0.13	-0.02	-0.2
YBL089W	0.01	-0.45	0.22	0.13	-0.29	0.21	0.21	-0.27	0.21	0.49	-0.12	0.25	-0.75	0.17
YBL090W	0.11	-0.41	-0.23	0.19	0.4	-0.08	-0.03	0.08	-0.12	0	0.05	0.14	-0.07	-0.03
YBL091C	0.02	0.15	-0.45	0.13	-0.25	-0.29	0	-0.16	0.07	0.19	-0.14	0.33	0.02	0.36
YBL092W	-0.81	-0.23	0.03	0.25	0.45	0.01	0.13	0.33	0.18	0.13	-0.21	0.09	-0.02	-0.33
YBL093C	-0.13	0.08	0.01	-0.03	-0.18	-0.21	0.2	0.26	0.14	-0.13	-0.37	0.76	-0.27	-0.14
YBL094C	0.39	-0.18	0.12	-0.03	-0.01	-0.24	0.12	0.12	-0.03	-0.18	-0.05	0.04	-0.2	0.14
YBL095W	0.38	-0.22	-0.4	0.06	-0.57	-0.03	0.69	-0.01	-0.16	-0.09	0.04	0.08	0.2	0.02
YBL096C	0.11	-0.09	-0.04	0.09	0.18	-0.29	0.21	0.11	0	-0.18	-0.11	0.04	-0.02	0
YBL097W	0.31	-0.31	0.12	-0.16	0.1	0.5	-0.09	-0.31	0.24	-0.31	0.38	-0.16	0.1	-0.4
YBL098W	-0.48	-0.2	-0.07	0.03	-0.09	-0.18	-0.05	0.29	0.21	0.05	-0.03	0.33	0.03	0.19
YBL099W	-0.54	-0.52	-0.46	-0.2	-0.15	-0.03	-0.19	0.25	0.65	0.49	-0.36	0.4	0.43	0.21
YBL100C	-0.14	-0.26	-0.1	0.01	0.13	-0.23	0.13	0.27	0.16	0.2	-0.67	0.29	0.16	0.05
